Time,Men,Cpu
18:13:39,3.1931024894630573, 0.0
18:13:40,3.1935106886969393, 0.0
18:13:42,3.1935106886969393, 0.0
18:13:43,3.1935106886969393, 0.0
18:13:44,3.1935106886969393, 0.0
18:13:46,3.1935106886969393, 1.5
18:13:47,3.1935106886969393, 1.6
18:13:48,3.1935106886969393, 0.0
18:13:50,3.1939669113701017, 0.0
18:13:51,3.1953595911092285, 0.0
18:13:53,3.1954796497074294, 0.0
18:13:54,3.1954796497074294, 0.0
18:13:55,3.1954796497074294, 0.0
18:13:57,3.1954796497074294, 0.0
18:13:58,3.1954796497074294, 0.0
18:13:59,3.1954796497074294, 0.0
18:14:1,3.1954796497074294, 0.0
18:14:2,3.1954796497074294, 0.0
18:14:3,3.1954796497074294, 0.0
18:14:5,3.195383602828869, 0.0
18:14:6,3.195383602828869, 0.0
18:14:7,3.195383602828869, 0.0
18:14:9,3.195383602828869, 0.0
18:14:10,3.195383602828869, 3.1
18:14:11,3.194687262959305, 0.0
18:14:13,3.1948793567164264, 0.0
18:14:14,3.1948793567164264, 0.0
18:14:16,3.1948793567164264, 0.0
18:14:17,3.1948793567164264, 0.0
18:14:18,3.1948793567164264, 0.0
18:14:20,3.1948793567164264, 0.0
18:14:21,3.1948793567164264, 0.0
18:14:22,3.1948793567164264, 0.0
18:14:24,3.1948793567164264, 0.0
18:14:25,3.1948793567164264, 0.0
18:14:26,3.1948793567164264, 3.1
18:14:28,3.1948793567164264, 1.6
18:14:29,3.1948793567164264, 0.0
18:14:30,3.1951915090717478, 0.0
18:14:32,3.1951915090717478, 0.0
18:14:33,3.1951915090717478, 0.0
18:14:34,3.1955036614270695, 1.5
18:14:36,3.1955036614270695, 0.0
